epoch,train_loss,val_loss
2,1781.37,455.724
4,1771.67,452.899
6,1762.03,450.092
8,1752.45,447.305
10,1742.92,444.536
12,1733.44,441.784
14,1724,439.047
16,1714.61,436.323
18,1705.24,433.611
20,1695.9,430.909
22,1686.58,428.218
24,1677.29,425.536
26,1668.03,422.863
28,1658.78,420.2
30,1649.56,417.546
32,1640.37,414.901
34,1631.19,412.264
36,1622.04,409.636
38,1612.9,407.017
40,1603.79,404.405
42,1594.69,401.802
44,1585.61,399.206
46,1576.56,396.618
48,1567.52,394.037
50,1558.49,391.465
52,1549.48,388.899
54,1540.49,386.341
56,1531.52,383.79
58,1522.56,381.246
60,1513.62,378.71
62,1504.69,376.18
64,1495.78,373.658
66,1486.88,371.142
68,1478,368.633
70,1469.13,366.131
72,1460.28,363.637
74,1451.44,361.149
76,1442.61,358.667
78,1433.81,356.193
80,1425.01,353.726
82,1416.23,351.265
84,1407.46,348.811
86,1398.71,346.365
88,1389.98,343.925
90,1381.25,341.491
92,1372.55,339.065
94,1363.85,336.646
96,1355.18,334.234
98,1346.51,331.828
100,1337.87,329.43
102,1329.23,327.038
104,1320.62,324.654
106,1312.01,322.276
108,1303.43,319.905
110,1294.86,317.542
112,1286.3,315.185
114,1277.76,312.835
116,1269.24,310.493
118,1260.73,308.157
120,1252.23,305.828
122,1243.76,303.507
124,1235.3,301.192
126,1226.86,298.885
128,1218.43,296.584
130,1210.02,294.291
132,1201.62,292.005
134,1193.25,289.726
136,1184.89,287.454
138,1176.55,285.189
140,1168.23,282.931
142,1159.92,280.681
144,1151.63,278.437
146,1143.36,276.201
148,1135.11,273.973
150,1126.88,271.751
152,1118.67,269.537
154,1110.48,267.331
156,1102.31,265.132
158,1094.16,262.94
160,1086.03,260.757
162,1077.92,258.581
164,1069.83,256.412
166,1061.77,254.252
168,1053.73,252.099
170,1045.71,249.955
172,1037.71,247.818
174,1029.74,245.69
176,1021.79,243.57
178,1013.87,241.459
180,1005.97,239.356
182,998.095,237.261
184,990.248,235.176
186,982.428,233.099
188,974.635,231.031
190,966.87,228.972
192,959.132,226.922
194,951.424,224.882
196,943.744,222.851
198,936.093,220.83
200,928.473,218.818
202,920.883,216.816
204,913.324,214.824
206,905.796,212.842
208,898.3,210.87
210,890.837,208.908
212,883.406,206.956
214,876.008,205.016
216,868.644,203.085
218,861.314,201.166
220,854.018,199.257
222,846.757,197.359
224,839.531,195.472
226,832.34,193.597
228,825.186,191.732
230,818.068,189.879
232,810.986,188.038
234,803.942,186.208
236,796.935,184.389
238,789.965,182.583
240,783.034,180.788
242,776.141,179.005
244,769.286,177.235
246,762.47,175.476
248,755.693,173.729
250,748.956,171.995
252,742.258,170.273
254,735.6,168.564
256,728.983,166.867
258,722.405,165.182
260,715.868,163.51
262,709.372,161.851
264,702.917,160.205
266,696.502,158.571
268,690.129,156.95
270,683.798,155.342
272,677.508,153.747
274,671.26,152.165
276,665.053,150.595
278,658.889,149.039
280,652.766,147.496
282,646.686,145.966
284,640.648,144.449
286,634.653,142.945
288,628.699,141.455
290,622.789,139.977
292,616.921,138.513
294,611.096,137.062
296,605.313,135.624
298,599.574,134.2
300,593.877,132.788
302,588.223,131.39
304,582.612,130.005
306,577.044,128.634
308,571.518,127.275
310,566.036,125.93
312,560.597,124.598
314,555.201,123.28
316,549.847,121.974
318,544.537,120.682
320,539.269,119.402
322,534.045,118.136
324,528.863,116.883
326,523.724,115.643
328,518.629,114.417
330,513.575,113.203
332,508.565,112.002
334,503.598,110.814
336,498.673,109.639
338,493.79,108.477
340,488.95,107.328
342,484.153,106.192
344,479.398,105.068
346,474.686,103.957
348,470.016,102.859
350,465.388,101.774
352,460.802,100.701
354,456.258,99.6402
356,451.756,98.5922
358,447.296,97.5567
360,442.878,96.5335
362,438.501,95.5226
364,434.166,94.5239
366,429.872,93.5375
368,425.62,92.5631
370,421.409,91.6008
372,417.238,90.6505
374,413.109,89.7121
376,409.021,88.7855
378,404.973,87.8708
380,400.966,86.9677
382,396.999,86.0762
384,393.072,85.1963
386,389.185,84.3279
388,385.339,83.4709
390,381.532,82.6252
392,377.764,81.7908
394,374.037,80.9675
396,370.348,80.1553
398,366.698,79.3542
400,363.088,78.5639
402,359.516,77.7844
404,355.982,77.0158
406,352.487,76.2577
408,349.03,75.5102
410,345.611,74.7733
412,342.23,74.0467
414,338.886,73.3304
416,335.579,72.6243
418,332.31,71.9284
420,329.077,71.2425
422,325.881,70.5665
424,322.722,69.9004
426,319.598,69.244
428,316.511,68.5973
430,313.459,67.9601
432,310.443,67.3324
434,307.462,66.7141
436,304.516,66.1051
438,301.605,65.5053
440,298.729,64.9145
442,295.887,64.3328
444,293.078,63.7599
446,290.304,63.1959
448,287.563,62.6405
450,284.855,62.0937
452,282.18,61.5555
454,279.538,61.0257
456,276.928,60.5042
458,274.351,59.9909
460,271.805,59.4858
462,269.292,58.9887
464,266.809,58.4995
466,264.358,58.0182
468,261.937,57.5446
470,259.547,57.0787
472,257.187,56.6203
474,254.858,56.1694
476,252.558,55.7258
478,250.287,55.2895
480,248.046,54.8604
482,245.834,54.4384
484,243.65,54.0235
486,241.494,53.6154
488,239.367,53.2141
490,237.267,52.8195
492,235.195,52.4316
494,233.15,52.0502
496,231.132,51.6753
498,229.141,51.3067
500,227.176,50.9444
502,225.237,50.5883
504,223.324,50.2383
506,221.437,49.8944
508,219.575,49.5564
510,217.738,49.2242
512,215.925,48.8977
514,214.137,48.577
516,212.373,48.2619
518,210.634,47.9523
520,208.917,47.6481
522,207.225,47.3493
524,205.555,47.0557
526,203.908,46.7673
528,202.284,46.4841
530,200.682,46.2059
532,199.102,45.9327
534,197.544,45.6644
536,196.007,45.4009
538,194.492,45.1421
540,192.997,44.888
542,191.524,44.6385
544,190.071,44.3935
546,188.638,44.153
548,187.225,43.9168
550,185.832,43.685
552,184.459,43.4574
554,183.105,43.234
556,181.769,43.0147
558,180.453,42.7994
560,179.155,42.5881
562,177.876,42.3807
564,176.614,42.1772
566,175.37,41.9775
568,174.144,41.7814
570,172.936,41.5891
572,171.744,41.4003
574,170.57,41.2151
576,169.412,41.0334
578,168.271,40.8551
580,167.146,40.6801
582,166.037,40.5085
584,164.944,40.3401
586,163.866,40.1749
588,162.804,40.0128
590,161.757,39.8539
592,160.725,39.6979
594,159.708,39.545
596,158.706,39.3949
598,157.718,39.2478
600,156.744,39.1035
602,155.784,38.9619
604,154.838,38.8231
606,153.906,38.687
608,152.987,38.5534
610,152.081,38.4225
612,151.189,38.2941
614,150.309,38.1682
616,149.442,38.0448
618,148.588,37.9237
620,147.745,37.805
622,146.915,37.6886
624,146.097,37.5745
626,145.291,37.4626
628,144.497,37.3529
630,143.714,37.2454
632,142.942,37.1399
634,142.181,37.0365
636,141.432,36.9352
638,140.693,36.8358
640,139.965,36.7384
642,139.247,36.6429
644,138.54,36.5493
646,137.843,36.4575
648,137.156,36.3675
650,136.479,36.2793
652,135.812,36.1928
654,135.155,36.1081
656,134.507,36.0249
658,133.868,35.9435
660,133.238,35.8636
662,132.618,35.7853
664,132.006,35.7085
666,131.404,35.6332
668,130.809,35.5595
670,130.224,35.4871
672,129.647,35.4162
674,129.078,35.3466
676,128.517,35.2784
678,127.964,35.2116
680,127.42,35.146
682,126.883,35.0817
684,126.353,35.0187
686,125.831,34.9568
688,125.317,34.8962
690,124.81,34.8367
692,124.31,34.7784
694,123.817,34.7212
696,123.331,34.6651
